Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
LoginCSRF-1653946499705,2,5243,2992,7494,7494,7494,2992,7494,0.000%,.26688,0.29,0.08
LoginCheck-1653946502585,1,112,112,112,112,112,112,112,0.000%,8.92857,10.45,17.97
DashboardRoute-1653946502127,1,599,599,599,599,599,599,599,0.000%,1.66945,136.67,2.06
LoginCheck-1653946502621,1,104,104,104,104,104,104,104,0.000%,9.61538,11.26,19.35
SelectLocationPath-1653946502654,1,78,78,78,78,78,78,78,0.000%,12.82051,43.32,21.50
SelectLocationPath-1653946502668,1,77,77,77,77,77,77,77,0.000%,12.98701,43.88,21.78
LoginCheck-1653946502664,1,96,96,96,96,96,96,96,0.000%,10.41667,12.20,20.97
SelectLocation-1653946502635,1,131,131,131,131,131,131,131,0.000%,7.63359,15.43,13.05
SelectLocation-1653946502644,1,130,130,130,130,130,130,130,0.000%,7.69231,15.55,13.15
CheckBookingConflicts-1653946502698,1,101,101,101,101,101,101,101,0.000%,9.90099,17.14,16.69
LoginCheck-1653946502709,1,94,94,94,94,94,94,94,0.000%,10.63830,12.46,21.41
TokenizedLogin-1653946499963,1,2869,2869,2869,2869,2869,2869,2869,0.000%,.34855,6.38,1.25
LoginUser-1653946502753,1,96,96,96,96,96,96,96,0.000%,10.41667,16.33,16.23
DashboardRoute-1653946502417,1,440,440,440,440,440,440,440,0.000%,2.27273,186.06,2.81
LoginCheck-1653946502764,1,93,93,93,93,93,93,93,0.000%,10.75269,12.59,21.64
LoginUser-1653946502772,1,95,95,95,95,95,95,95,0.000%,10.52632,16.50,16.40
LoginUser-1653946502782,1,95,95,95,95,95,95,95,0.000%,10.52632,16.50,16.40
LoginCheck-1653946502791,1,92,92,92,92,92,92,92,0.000%,10.86957,12.73,21.88
LoginDashboard-1653946502797,1,93,93,93,93,93,93,93,0.000%,10.75269,33.56,18.59
SelectLocationPath-1653946502830,1,69,69,69,69,69,69,69,0.000%,14.49275,48.97,24.30
LoginCheck-1653946502811,1,93,93,93,93,93,93,93,0.000%,10.75269,12.59,21.64
BookBookable-1653946502741,1,177,177,177,177,177,177,177,0.000%,5.64972,24.88,18.38
LoginUser-1653946502817,1,102,102,102,102,102,102,102,0.000%,9.80392,15.37,15.27
GetLocations-1653946502832,1,108,108,108,108,108,108,108,0.000%,9.25926,18.70,15.23
SelectLocationPath-1653946502869,1,75,75,75,75,75,75,75,0.000%,13.33333,45.05,22.36
CheckBookingsDateType-1653946502849,1,112,112,112,112,112,112,112,0.000%,8.92857,11.16,15.13
LoginUser-1653946502879,1,101,101,101,101,101,101,101,0.000%,9.90099,15.52,15.42
BookBookable-1653946502815,1,174,174,174,174,174,174,174,0.000%,5.74713,25.31,18.69
LoginUser-1653946502886,1,110,110,110,110,110,110,110,0.000%,9.09091,14.25,14.16
CheckBookingsDateType-1653946502894,1,118,118,118,118,118,118,118,0.000%,8.47458,10.59,14.36
CheckBookingsDateType-1653946502938,1,114,114,114,114,114,114,114,0.000%,8.77193,10.96,14.86
LoginUser-1653946502938,1,117,117,117,117,117,117,117,0.000%,8.54701,13.40,13.31
LoginCheck-1653946502949,1,129,129,129,129,129,129,129,0.000%,7.75194,9.08,15.60
LoginUser-1653946502955,1,134,134,134,134,134,134,134,0.000%,7.46269,11.70,11.62
CheckBookingConflicts-1653946502984,1,107,107,107,107,107,107,107,0.000%,9.34579,16.18,15.75
MyBookings-1653946502966,1,130,130,130,130,130,130,130,0.000%,7.69231,14.10,12.23
CheckBookingsDateType-1653946502971,1,127,127,127,127,127,127,127,0.000%,7.87402,9.84,13.34
CheckBookingsDateType-1653946502988,1,115,115,115,115,115,115,115,0.000%,8.69565,10.87,14.73
GetLocationsInRange-1653946503027,1,110,110,110,110,110,110,110,0.000%,9.09091,12.87,15.67
CheckBookingsDateType-1653946503030,1,115,115,115,115,115,115,115,0.000%,8.69565,10.87,14.73
BookBookable-1653946502949,1,197,197,197,197,197,197,197,0.000%,5.07614,22.35,16.51
MyBookings-1653946503056,1,105,105,105,105,105,105,105,0.000%,9.52381,17.46,15.14
BookBookable-1653946502969,1,202,202,202,202,202,202,202,0.000%,4.95050,21.80,16.10
CheckBookingsDateType-1653946503080,1,101,101,101,101,101,101,101,0.000%,9.90099,12.38,16.78
CheckBookingConflicts-1653946503105,1,98,98,98,98,98,98,98,0.000%,10.20408,17.67,17.20
CheckBookingConflicts-1653946503108,1,108,108,108,108,108,108,108,0.000%,9.25926,16.03,15.61
CheckBookingConflicts-1653946503132,1,102,102,102,102,102,102,102,0.000%,9.80392,16.97,16.52
CheckBookingsDateType-1653946503157,1,119,119,119,119,119,119,119,0.000%,8.40336,10.50,14.24
CheckBookingConflicts-1653946503149,1,167,167,167,167,167,167,167,0.000%,5.98802,10.37,10.09
DeleteBooking-1653946503147,1,168,168,168,168,168,168,168,0.000%,5.95238,28.39,19.56
LoginUser-1653946503182,1,148,148,148,148,148,148,148,0.000%,6.75676,10.59,10.52
MyBookings-1653946503195,1,166,166,166,166,166,166,166,0.000%,6.02410,11.04,9.58
CheckBookingConflicts-1653946503185,1,180,180,180,180,180,180,180,0.000%,5.55556,9.62,9.36
GetLocations-1653946503183,1,190,190,190,190,190,190,190,0.000%,5.26316,10.63,8.66
CheckBookingConflicts-1653946503214,1,159,159,159,159,159,159,159,0.000%,6.28931,10.89,10.60
DashboardRoute-1653946502918,1,471,471,471,471,471,471,471,0.000%,2.12314,173.82,2.62
LoginCSRF-1653946499499,1,3891,3891,3891,3891,3891,3891,3891,0.000%,.25700,0.28,0.08
TokenizedLogin-1653946502865,1,538,538,538,538,538,538,538,0.000%,1.85874,34.02,6.65
MyBookings-1653946503251,1,153,153,153,153,153,153,153,0.000%,6.53595,11.98,10.39
LoginCSRF-1653946499481,1,3930,3930,3930,3930,3930,3930,3930,0.000%,.25445,0.28,0.07
LoginCSRF-1653946499537,1,3876,3876,3876,3876,3876,3876,3876,0.000%,.25800,0.28,0.08
LoginCSRF-1653946499504,1,3914,3914,3914,3914,3914,3914,3914,0.000%,.25549,0.28,0.08
LoginCSRF-1653946499570,1,3849,3849,3849,3849,3849,3849,3849,0.000%,.25981,0.28,0.08
DeleteBooking-1653946503232,1,200,200,200,200,200,200,200,0.000%,5.00000,23.85,16.43
LoginCSRF-1653946499527,1,3903,3903,3903,3903,3903,3903,3903,0.000%,.25621,0.28,0.08
LoginCSRF-1653946499580,1,3870,3870,3870,3870,3870,3870,3870,0.000%,.25840,0.28,0.08
GetLocations-1653946503314,1,148,148,148,148,148,148,148,0.000%,6.75676,13.65,11.11
SelectLocation-1653946503221,1,241,241,241,241,241,241,241,0.000%,4.14938,8.39,7.10
GetLocations-1653946503283,1,187,187,187,187,187,187,187,0.000%,5.34759,10.80,8.79
GetLocations-1653946503330,1,142,142,142,142,142,142,142,0.000%,7.04225,14.22,11.58
GetLocations-1653946503302,1,175,175,175,175,175,175,175,0.000%,5.71429,11.54,9.40
CheckBookingsDateType-1653946503374,1,137,137,137,137,137,137,137,0.000%,7.29927,9.12,12.37
CheckBookingConflicts-1653946503377,1,148,148,148,148,148,148,148,0.000%,6.75676,11.70,11.39
GetLocations-1653946503391,1,133,133,133,133,133,133,133,0.000%,7.51880,15.18,12.36
GetLocations-1653946503384,1,143,143,143,143,143,143,143,0.000%,6.99301,14.12,11.50
LoginCheck-1653946503438,1,100,100,100,100,100,100,100,0.000%,10.00000,11.71,20.13
SelectLocationPath-1653946503465,1,85,85,85,85,85,85,85,0.000%,11.76471,39.75,19.73
LoginDashboard-1653946503440,1,111,111,111,111,111,111,111,0.000%,9.00901,28.11,15.57
GetLocationsInRange-1653946503423,1,148,148,148,148,148,148,148,0.000%,6.75676,9.57,11.65
LoginDashboard-1653946503465,1,108,108,108,108,108,108,108,0.000%,9.25926,28.93,16.00
TokenizedLogin-1653946502843,1,741,741,741,741,741,741,741,0.000%,1.34953,24.70,4.83
LoginDashboard-1653946503471,1,123,123,123,123,123,123,123,0.000%,8.13008,25.41,14.05
LoginDashboard-1653946503474,1,123,123,123,123,123,123,123,0.000%,8.13008,25.41,14.05
DeleteBooking-1653946503416,1,182,182,182,182,182,182,182,0.000%,5.49451,26.21,18.06
DeleteBooking-1653946503410,1,188,188,188,188,188,188,188,0.000%,5.31915,25.37,17.48
LoginDashboard-1653946503483,2,120,118,123,123,123,118,123,0.000%,16.26016,50.81,28.11
TokenizedLogin-1653946502923,1,678,678,678,678,678,678,678,0.000%,1.47493,27.00,5.28
LoginDashboard-1653946503488,1,118,118,118,118,118,118,118,0.000%,8.47458,26.48,14.65
GetLocationsInRange-1653946503478,1,134,134,134,134,134,134,134,0.000%,7.46269,10.57,12.86
GetLocationsInRange-1653946503481,1,138,138,138,138,138,138,138,0.000%,7.24638,10.26,12.49
GetLocationsInRange-1653946503534,1,114,114,114,114,114,114,114,0.000%,8.77193,12.42,15.12
GetLocations-1653946503539,1,127,127,127,127,127,127,127,0.000%,7.87402,15.90,12.95
GetLocationsInRange-1653946503558,1,127,127,127,127,127,127,127,0.000%,7.87402,11.15,13.57
CheckBookingConflicts-1653946503560,1,127,127,127,127,127,127,127,0.000%,7.87402,13.63,13.27
LoginUser-1653946503585,1,107,107,107,107,107,107,107,0.000%,9.34579,14.65,14.56
GetLocationsInRange-1653946503570,1,142,142,142,142,142,142,142,0.000%,7.04225,9.97,12.14
